age,debt,yearsemployed,creditscore,income,class,gender_a,gender_b,married_l,married_u,married_y,bankcustomer_g,bankcustomer_gg,bankcustomer_p,educationlevel_aa,educationlevel_c,educationlevel_cc,educationlevel_d,educationlevel_e,educationlevel_ff,educationlevel_i,educationlevel_j,educationlevel_k,educationlevel_m,educationlevel_q,educationlevel_r,educationlevel_w,educationlevel_x,ethnicity_bb,ethnicity_dd,ethnicity_ff,ethnicity_h,ethnicity_j,ethnicity_n,ethnicity_o,ethnicity_v,ethnicity_z,priordefault_f,priordefault_t,employed_f,employed_t,driverslicense_f,driverslicense_t,citizen_g,citizen_p,citizen_s
30.83,0.000000000000000,0.043859649122807,0.014925373134328,0.000000000000000,+,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0
58.67,0.159285714285714,0.106666666666667,0.089552238805970,0.005600000000000,+,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0
24.50,0.017857142857143,0.052631578947368,0.000000000000000,0.008240000000000,+,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0
27.83,0.055000000000000,0.131578947368421,0.074626865671642,0.000030000000000,+,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0
20.17,0.200892857142857,0.060000000000000,0.000000000000000,0.000000000000000,+,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1
32.08,0.142857142857143,0.087719298245614,0.000000000000000,0.000000000000000,+,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0
33.17,0.037142857142857,0.228070175438596,0.000000000000000,0.312850000000000,+,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
22.92,0.413750000000000,0.001403508771930,0.000000000000000,0.013490000000000,+,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0
54.42,0.017857142857143,0.138947368421053,0.000000000000000,0.003140000000000,+,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0
42.50,0.175535714285714,0.111052631578947,0.000000000000000,0.014420000000000,+,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0
